"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","UK_retailPrice","weight","thumbnailURL","imageURL"
1976,"Freestyle Building Set, 4+",1995,"Freestyle","Basic",NA,"Normal",TRUE,196,NA,"https://brickset.com/sets/4143-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/4143-1.jpg","https://images.brickset.com/sets/images/4143-1.jpg"
1977,"Freestyle Brick Vac Bus, 4+",1995,"Freestyle","Basic",NA,"Normal",TRUE,141,NA,"https://brickset.com/sets/4144-1",0,0,"{Not specified}","{Not specified}",NA,22,NA,NA,NA,NA
1978,"Freestyle Playcase (M), 4+",1995,"Freestyle","Basic",NA,"Normal",TRUE,249,NA,"https://brickset.com/sets/4145-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/4145-1.jpg","https://images.brickset.com/sets/images/4145-1.jpg"
1979,"Freestyle Bucket, 4+",1995,"Freestyle","Basic",NA,"Normal",TRUE,410,NA,"https://brickset.com/sets/4146-1",0,0,"{Not specified}","{Not specified}",NA,33,NA,NA,NA,NA
4988,"Building Set 5+",1995,"Freestyle","Basic",NA,"Normal",TRUE,88,1,"https://brickset.com/sets/4150-1",0,0,"{Not specified}","{Not specified}",NA,3.5,NA,NA,"https://images.brickset.com/sets/small/4150-1.jpg","https://images.brickset.com/sets/images/4150-1.jpg"
1981,"Girl's Freestyle Set, 5+",1995,"Freestyle","Basic",NA,"Normal",TRUE,272,2,"https://brickset.com/sets/4151-1",0,1,"{Not specified}","{Not specified}",NA,13,NA,NA,"https://images.brickset.com/sets/small/4151-1.jpg","https://images.brickset.com/sets/images/4151-1.jpg"
1985,"Freestyle Bucket, 5+",1995,"Freestyle","Basic",NA,"Normal",TRUE,400,NA,"https://brickset.com/sets/4152-1",0,1,"{Not specified}","{Not specified}",NA,20,NA,NA,"https://images.brickset.com/sets/small/4152-1.jpg","https://images.brickset.com/sets/images/4152-1.jpg"
1986,"Freestyle Playcase (L), 5+",1995,"Freestyle","Basic",NA,"Normal",TRUE,687,2,"https://brickset.com/sets/4153-1",0,0,"{Not specified}","{Not specified}",NA,38,NA,NA,"https://images.brickset.com/sets/small/4153-1.jpg","https://images.brickset.com/sets/images/4153-1.jpg"
1987,"Girl's Freestyle Suitcase, 6+",1995,"Freestyle","Basic",NA,"Normal",TRUE,283,2,"https://brickset.com/sets/4161-1",0,0,"{Not specified}","{Not specified}",NA,20,NA,NA,"https://images.brickset.com/sets/small/4161-1.jpg","https://images.brickset.com/sets/images/4161-1.jpg"
1988,"Freestyle Multibox, 6+",1995,"Freestyle","Basic",NA,"Normal",TRUE,592,NA,"https://brickset.com/sets/4162-1",0,0,"{Not specified}","{Not specified}",NA,25,NA,NA,"https://images.brickset.com/sets/small/4162-1.jpg","https://images.brickset.com/sets/images/4162-1.jpg"
1989,"Electric Freestyle Set, 6+",1995,"Freestyle","Basic",NA,"Normal",TRUE,349,NA,"https://brickset.com/sets/4163-1",0,0,"Box","Retail",NA,45,NA,NA,"https://images.brickset.com/sets/small/4163-1.jpg","https://images.brickset.com/sets/images/4163-1.jpg"
