"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL"
4545,"Go-Kart",1978,"Technic","Technical",NA,"Normal",TRUE,206,NA,"https://brickset.com/sets/948-1",0,4,"Box","Retail","https://images.brickset.com/sets/small/948-1.jpg","https://images.brickset.com/sets/images/948-1.jpg"
4548,"Farm Tractor",1978,"Technic","Technical",NA,"Normal",TRUE,316,NA,"https://brickset.com/sets/952-1",0,2,"Box","Retail","https://images.brickset.com/sets/small/952-1.jpg","https://images.brickset.com/sets/images/952-1.jpg"
4549,"Sky Copter",1978,"Technic","Technical",NA,"Normal",TRUE,365,NA,"https://brickset.com/sets/954-1",0,1,"Box","Retail","https://images.brickset.com/sets/small/954-1.jpg","https://images.brickset.com/sets/images/954-1.jpg"
4551,"Auto Chassis",1978,"Technic","Technical",NA,"Normal",TRUE,599,NA,"https://brickset.com/sets/956-1",0,1,"Box","Retail","https://images.brickset.com/sets/small/956-1.jpg","https://images.brickset.com/sets/images/956-1.jpg"
4552,"Power Pack",1978,"Technic","Technical","Supplementary","Normal",TRUE,22,NA,"https://brickset.com/sets/960-1",0,0,"Box","Retail","https://images.brickset.com/sets/small/960-1.jpg","https://images.brickset.com/sets/images/960-1.jpg"
4553,"Parts Pack",1978,"Technic","Technical","Supplementary","Normal",TRUE,78,NA,"https://brickset.com/sets/961-1",0,0,"Box","Retail","https://images.brickset.com/sets/small/961-1.jpg","https://images.brickset.com/sets/images/961-1.jpg"
4554,"Lighting Bricks",1978,"Basic","Basic","Supplementaries","Normal",TRUE,17,NA,"https://brickset.com/sets/970-1",3.8,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/970-1.jpg","https://images.brickset.com/sets/images/970-1.jpg"
24888,"Axles and Bushes",1978,"Service Packs","Miscellaneous","Technic","Normal",TRUE,24,NA,"https://brickset.com/sets/1117-1",0,0,"Polybag","{Not specified}","https://images.brickset.com/sets/small/1117-1.jpg","https://images.brickset.com/sets/images/1117-1.jpg"
28064,"4.5V Motor",1978,"Service Packs","Miscellaneous","Technic","Normal",TRUE,1,NA,"https://brickset.com/sets/1175-1",0,0,"{Not specified}","{Not specified}",NA,NA
24889,"Gear racks and turntables",1978,"Service Packs","Miscellaneous","Technic","Normal",TRUE,4,NA,"https://brickset.com/sets/1176-1",0,0,"Polybag","{Not specified}","https://images.brickset.com/sets/small/1176-1.jpg","https://images.brickset.com/sets/images/1176-1.jpg"
413,"Sterling Airways Aircraft",1978,"LEGOLAND","Vintage","Town","Normal",TRUE,44,NA,"https://brickset.com/sets/1555-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1555-2.jpg","https://images.brickset.com/sets/images/1555-2.jpg"
434,"Town Square",1978,"Town","Modern day","Special","Normal",TRUE,458,5,"https://brickset.com/sets/1589-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1589-1.jpg","https://images.brickset.com/sets/images/1589-1.jpg"
448,"Airliner",1978,"LEGOLAND","Vintage",NA,"Normal",TRUE,23,NA,"https://brickset.com/sets/1610-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1610-2.jpg","https://images.brickset.com/sets/images/1610-2.jpg"
451,"Aeroplane",1978,"LEGOLAND","Vintage",NA,"Normal",TRUE,64,NA,"https://brickset.com/sets/1611-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1611-2.jpg","https://images.brickset.com/sets/images/1611-2.jpg"
457,"Chocolate Factory",1978,"Town","Modern day","Special","Normal",TRUE,236,3,"https://brickset.com/sets/1620-2",0,4,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1620-2.jpg","https://images.brickset.com/sets/images/1620-2.jpg"
29538,"Educational Suitcase",1978,"Gear","Miscellaneous","Bags","Gear",TRUE,NA,NA,"https://brickset.com/sets/7000-2",0,0,"Box","Educational","https://images.brickset.com/sets/small/7000-2.jpg","https://images.brickset.com/sets/images/7000-2.jpg"
