"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
2318,"Chill Speeder",2004,"Alpha Team","Action/Adventure","Mission Deep Freeze","Normal",TRUE,58,1,"https://brickset.com/sets/4742-1",4,13,"Box","Retail",NA,4,NA,NA,3.99,NA,NA,9.6,14.4,4.8,0.11,"https://images.brickset.com/sets/small/4742-1.jpg","https://images.brickset.com/sets/images/4742-1.jpg"
2319,"Ice Blade",2004,"Alpha Team","Action/Adventure","Mission Deep Freeze","Normal",TRUE,108,1,"https://brickset.com/sets/4743-1",4.3,25,"Box","Retail",NA,10,NA,NA,9.99,NA,NA,14.4,24,6,0.15,"https://images.brickset.com/sets/small/4743-1.jpg","https://images.brickset.com/sets/images/4743-1.jpg"
2320,"Tundra Tracker",2004,"Alpha Team","Action/Adventure","Mission Deep Freeze","Normal",TRUE,141,2,"https://brickset.com/sets/4744-1",4.2,8,"Box","Retail",NA,20,NA,NA,17.99,NA,NA,19.2,28.8,7.2,0.33,"https://images.brickset.com/sets/small/4744-1.jpg","https://images.brickset.com/sets/images/4744-1.jpg"
2321,"Blue Eagle vs. Snow Crawler",2004,"Alpha Team","Action/Adventure","Mission Deep Freeze","Normal",TRUE,258,2,"https://brickset.com/sets/4745-1",4.3,8,"Box","Retail",NA,30,NA,NA,24.99,NA,NA,28.8,28.8,6,0.46,"https://images.brickset.com/sets/small/4745-1.jpg","https://images.brickset.com/sets/images/4745-1.jpg"
2322,"Mobile Command Center",2004,"Alpha Team","Action/Adventure","Mission Deep Freeze","Normal",TRUE,426,5,"https://brickset.com/sets/4746-1",4.4,8,"Box","Retail",NA,50,NA,NA,39.99,NA,NA,28.8,48,6,0.84,"https://images.brickset.com/sets/small/4746-1.jpg","https://images.brickset.com/sets/images/4746-1.jpg"
2323,"Ogel's Mountain Fortress",2004,"Alpha Team","Action/Adventure","Mission Deep Freeze","Normal",TRUE,436,5,"https://brickset.com/sets/4748-1",4.5,9,"Box","Retail",NA,70,NA,NA,49.99,NA,NA,38.4,48,9.6,1.54,"https://images.brickset.com/sets/small/4748-1.jpg","https://images.brickset.com/sets/images/4748-1.jpg"
2324,"Draco's Encounter with Buckbeak",2004,"Harry Potter","Licensed","Prisoner of Azkaban","Normal",TRUE,36,1,"https://brickset.com/sets/4750-1",3.8,8,"Box","Retail",NA,8,NA,NA,5.99,NA,NA,14.4,14.4,4.8,0.1,"https://images.brickset.com/sets/small/4750-1.jpg","https://images.brickset.com/sets/images/4750-1.jpg"
2325,"Harry and the Marauder's Map",2004,"Harry Potter","Licensed","Prisoner of Azkaban","Normal",TRUE,109,3,"https://brickset.com/sets/4751-1",3.9,3,"Box","Retail",NA,10,NA,NA,8.99,NA,NA,19.2,14.4,6,0.2,"https://images.brickset.com/sets/small/4751-1.jpg","https://images.brickset.com/sets/images/4751-1.jpg"
2326,"Professor Lupin's Classroom",2004,"Harry Potter","Licensed","Prisoner of Azkaban","Normal",TRUE,156,3,"https://brickset.com/sets/4752-1",4.2,6,"Box","Retail",NA,20,NA,NA,17.99,NA,NA,19.2,28.8,6,0.34,"https://images.brickset.com/sets/small/4752-1.jpg","https://images.brickset.com/sets/images/4752-1.jpg"
2327,"Sirius Black's Escape",2004,"Harry Potter","Licensed","Prisoner of Azkaban","Normal",TRUE,188,3,"https://brickset.com/sets/4753-1",4.1,14,"Box","Retail",NA,20,NA,NA,17.99,NA,NA,28.8,19.2,6,0.36,"https://images.brickset.com/sets/small/4753-1.jpg","https://images.brickset.com/sets/images/4753-1.jpg"
2328,"Hagrid's Hut",2004,"Harry Potter","Licensed","Prisoner of Azkaban","Normal",TRUE,302,2,"https://brickset.com/sets/4754-1",4.1,3,"Box","Retail",NA,30,NA,NA,19.99,NA,NA,28.8,28.8,6,0.58,"https://images.brickset.com/sets/small/4754-1.jpg","https://images.brickset.com/sets/images/4754-1.jpg"
2329,"Knight Bus",2004,"Harry Potter","Licensed","Prisoner of Azkaban","Normal",TRUE,243,2,"https://brickset.com/sets/4755-1",4.2,9,"Box","Retail",NA,30,NA,NA,19.99,NA,NA,28.8,28.8,7.2,0.55,"https://images.brickset.com/sets/small/4755-1.jpg","https://images.brickset.com/sets/images/4755-1.jpg"
2330,"Shrieking Shack",2004,"Harry Potter","Licensed","Prisoner of Azkaban","Normal",TRUE,444,4,"https://brickset.com/sets/4756-1",4.3,9,"Box","Retail",NA,50,NA,NA,39.99,NA,NA,28.8,38.4,9.6,0.93,"https://images.brickset.com/sets/small/4756-1.jpg","https://images.brickset.com/sets/images/4756-1.jpg"
2331,"Hogwarts Castle",2004,"Harry Potter","Licensed","Prisoner of Azkaban","Normal",TRUE,944,9,"https://brickset.com/sets/4757-1",4.4,10,"Box","Retail",NA,90,NA,NA,79.99,NA,NA,38.4,57.6,9.6,2.12,"https://images.brickset.com/sets/small/4757-1.jpg","https://images.brickset.com/sets/images/4757-1.jpg"
2332,"Hogwarts Express",2004,"Harry Potter","Licensed","Prisoner of Azkaban","Normal",TRUE,389,4,"https://brickset.com/sets/4758-1",4.1,4,"Box","Retail",NA,40,NA,NA,34.99,NA,NA,28.8,33.6,7.2,0.79,"https://images.brickset.com/sets/small/4758-1.jpg","https://images.brickset.com/sets/images/4758-1.jpg"
2333,"3 Christmas Decorations",2004,"Seasonal","Miscellaneous","Christmas","Normal",TRUE,127,NA,"https://brickset.com/sets/4759-1",0,0,"{Not specified}","{Not specified}",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4759-1.jpg","https://images.brickset.com/sets/images/4759-1.jpg"
2334,"Knight and Squire",2004,"Duplo","Pre-school","Castle","Normal",TRUE,19,2,"https://brickset.com/sets/4775-1",0,0,"{Not specified}","{Not specified}",NA,10,NA,NA,6.99,NA,NA,19.2,19.2,6,0.25,"https://images.brickset.com/sets/small/4775-1.jpg","https://images.brickset.com/sets/images/4775-1.jpg"
2335,"Dragon Tower",2004,"Duplo","Pre-school","Castle","Normal",TRUE,63,2,"https://brickset.com/sets/4776-1",0,1,"{Not specified}","{Not specified}",NA,30,NA,NA,24.99,NA,NA,38.4,38.4,11.4,1.87,"https://images.brickset.com/sets/small/4776-1.jpg","https://images.brickset.com/sets/images/4776-1.jpg"
2336,"Knights' Castle",2004,"Duplo","Pre-school","Castle","Normal",TRUE,164,4,"https://brickset.com/sets/4777-1",0,0,"{Not specified}","{Not specified}",NA,50,NA,NA,49.99,NA,NA,48,57.6,11.4,3.83,"https://images.brickset.com/sets/small/4777-1.jpg","https://images.brickset.com/sets/images/4777-1.jpg"
