"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL"
172,"114",1,"Building Set, 3+",1977,"Universal Building Set","Basic",NA,"Normal",TRUE,390,NA,"https://brickset.com/sets/114-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/114-1.jpg","https://images.brickset.com/sets/images/114-1.jpg"
456,"162",1,"Locomotive",1977,"Trains","Modern day","4.5/12V","Normal",TRUE,210,NA,"https://brickset.com/sets/162-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/162-1.jpg","https://images.brickset.com/sets/images/162-1.jpg"
465,"163",1,"Cargo Wagon",1977,"Trains","Modern day","4.5/12V","Normal",TRUE,128,2,"https://brickset.com/sets/163-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/163-1.jpg","https://images.brickset.com/sets/images/163-1.jpg"
5294,"192",1,"Policemen",1977,"Building Set with People","Vintage",NA,"Normal",TRUE,86,NA,"https://brickset.com/sets/192-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/192-1.jpg","https://images.brickset.com/sets/images/192-1.jpg"
7497,"198",1,"Cowboys",1977,"Building Set with People","Vintage",NA,"Normal",TRUE,41,NA,"https://brickset.com/sets/198-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/198-1.jpg","https://images.brickset.com/sets/images/198-1.jpg"
7498,"199",1,"Scooter",1977,"Building Set with People","Vintage",NA,"Normal",TRUE,45,NA,"https://brickset.com/sets/199-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/199-1.jpg","https://images.brickset.com/sets/images/199-1.jpg"
7499,"213",1,"Airplane ride",1977,"Building Set with People","Vintage",NA,"Normal",TRUE,48,NA,"https://brickset.com/sets/213-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/213-1.jpg","https://images.brickset.com/sets/images/213-1.jpg"
7500,"214",1,"Road repair crew",1977,"Building Set with People","Vintage",NA,"Normal",TRUE,68,NA,"https://brickset.com/sets/214-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/214-1.jpg","https://images.brickset.com/sets/images/214-1.jpg"
7501,"215",1,"Red Indians",1977,"Building Set with People","Vintage",NA,"Normal",TRUE,93,NA,"https://brickset.com/sets/215-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/215-1.jpg","https://images.brickset.com/sets/images/215-1.jpg"
7502,"217",1,"Service Station",1977,"Building Set with People","Vintage",NA,"Normal",TRUE,228,NA,"https://brickset.com/sets/217-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/217-1.jpg","https://images.brickset.com/sets/images/217-1.jpg"
6727,"218",1,"Firemen",1977,"Building Set with People","Vintage",NA,"Normal",TRUE,274,NA,"https://brickset.com/sets/218-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/218-1.jpg","https://images.brickset.com/sets/images/218-1.jpg"
